Country,Region,Gross National Income (GNI),Sex,Indicator,2013,2014,2015,2016,2017,2018
Haiti,Americas,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Haiti,Americas,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Haiti,Americas,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Haiti,Americas,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Honduras,Americas,Lower-Middle,female,Political Empowerment Score,0.128,NaN,NaN,NaN,NaN,NaN
Honduras,Americas,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),19.5,25.8,25.8,25.8,25.8,21.1
Honduras,Americas,Lower-Middle,female,Proportion of women in managerial positions,61.3,59.9,49.1,47,48.4,NaN
Honduras,Americas,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,17.6,17.4,27.3,NaN,NaN
Honduras,Americas,Lower-Middle,female,Proportion of women in senior and middle management positions,36.2,42.3,42.4,41.1,41,NaN
Honduras,Americas,Lower-Middle,female,Share of female judges,NaN,NaN,53,NaN,NaN,NaN
Honduras,Americas,Lower-Middle,female,Share of female police officers,9,NaN,10,NaN,NaN,NaN
Hong Kong,Asia Pacific,High,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Hong Kong,Asia Pacific,High,female,Proportion of seats held by women in national parliaments (%),NaN,NaN,NaN,NaN,NaN,NaN
Hong Kong,Asia Pacific,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Hong Kong,Asia Pacific,High,female,Proportion of women in ministerial level positions (%),NaN,NaN,NaN,NaN,NaN,NaN
Hong Kong,Asia Pacific,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Hong Kong,Asia Pacific,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Hong Kong,Asia Pacific,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Hungary,Post-communist,High,female,Political Empowerment Score,0.0574,NaN,NaN,NaN,NaN,NaN
Hungary,Post-communist,High,female,Proportion of seats held by women in national parliaments (%),8.8,10.1,10.1,10.1,10.1,12.6
Hungary,Post-communist,High,female,Proportion of women in managerial positions,40.8,39.8,40.5,39.4,39.4,NaN
Hungary,Post-communist,High,female,Proportion of women in ministerial level positions (%),NaN,11.1,0,0,NaN,NaN
Hungary,Post-communist,High,female,Proportion of women in senior and middle management positions,38.3,37.6,39.1,37.7,37.6,NaN
Hungary,Post-communist,High,female,Share of female judges,68,69,69,NaN,NaN,NaN
Hungary,Post-communist,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Iceland,Europe,High,female,Political Empowerment Score,0.7544,NaN,NaN,NaN,NaN,NaN
Iceland,Europe,High,female,Proportion of seats held by women in national parliaments (%),39.7,39.7,41.3,47.6,47.6,38.1
Iceland,Europe,High,female,Proportion of women in managerial positions,37.6,37.2,38.2,34.2,32.4,NaN
Iceland,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,37.5,44.4,40,NaN,NaN
Iceland,Europe,High,female,Proportion of women in senior and middle management positions,37.9,38.2,39.5,34.8,33,NaN
Iceland,Europe,High,female,Share of female judges,42,NaN,NaN,NaN,NaN,NaN
Iceland,Europe,High,female,Share of female police officers,13,15,16,NaN,NaN,NaN
India,Asia Pacific,Lower-Middle,female,Political Empowerment Score,0.3852,NaN,NaN,NaN,NaN,NaN
India,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),11,11.4,12,12,11.8,11.8
India,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
India,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,9.3,22.2,18.5,NaN,NaN
India,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
India,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
India,Asia Pacific,Lower-Middle,female,Share of female police officers,7,NaN,NaN,NaN,NaN,NaN
Indonesia,Asia Pacific,Lower-Middle,female,Political Empowerment Score,0.1334,NaN,NaN,NaN,NaN,NaN
Indonesia,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),18.6,16.9,17.1,17.1,19.8,19.8
Indonesia,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,21.6,23.5,22.4,NaN,27.5,NaN
Indonesia,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,11.8,22.9,25.7,NaN,NaN
Indonesia,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Indonesia,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Indonesia,Asia Pacific,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
"Iran, Islamic Rep.",Middle East and North Africa,Upper-Middle,female,Political Empowerment Score,0.0346,NaN,NaN,NaN,NaN,NaN
"Iran, Islamic Rep.",Middle East and North Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),3.1,3.1,3.1,5.9,5.9,5.9
"Iran, Islamic Rep.",Middle East and North Africa,Upper-Middle,female,Proportion of women in managerial positions,NaN,18.2,16.4,17.3,19,NaN
"Iran, Islamic Rep.",Middle East and North Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,10,10,9.7,NaN,NaN
"Iran, Islamic Rep.",Middle East and North Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
"Iran, Islamic Rep.",Middle East and North Africa,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
"Iran, Islamic Rep.",Middle East and North Africa,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Iraq,Middle East and North Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),25.2,25.3,26.5,26.5,25.3,25.5
Iraq,Middle East and North Africa,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Iraq,Middle East and North Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,3.7,6.1,10.5,NaN,NaN
Iraq,Middle East and North Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Iraq,Middle East and North Africa,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Iraq,Middle East and North Africa,Upper-Middle,female,Share of female police officers,1,NaN,NaN,NaN,NaN,NaN
Iraq,Middle East and North Africa,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Ireland,Europe,High,female,Political Empowerment Score,0.4115,NaN,NaN,NaN,NaN,NaN
Ireland,Europe,High,female,Proportion of seats held by women in national parliaments (%),15.7,15.7,16.3,22.2,22.2,22.2
Ireland,Europe,High,female,Proportion of women in managerial positions,32.9,33.4,33.8,35.3,35.9,NaN
Ireland,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,14.3,28.6,26.7,NaN,NaN
Ireland,Europe,High,female,Proportion of women in senior and middle management positions,30.3,30.8,29.5,31.1,31.3,NaN
Ireland,Europe,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Ireland,Europe,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Israel,Middle East and North Africa,High,female,Political Empowerment Score,0.1643,NaN,NaN,NaN,NaN,NaN
Israel,Middle East and North Africa,High,female,Proportion of seats held by women in national parliaments (%),22.5,22.5,26.7,26.7,27.5,27.5
Israel,Middle East and North Africa,High,female,Proportion of women in managerial positions,32.7,32.8,32.2,34.1,34.5,NaN
Israel,Middle East and North Africa,High,female,Proportion of women in ministerial level positions (%),NaN,18.2,18.2,19,NaN,NaN
Israel,Middle East and North Africa,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Israel,Middle East and North Africa,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Israel,Middle East and North Africa,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Italy,Europe,High,female,Political Empowerment Score,0.1912,NaN,NaN,NaN,NaN,NaN
Italy,Europe,High,female,Proportion of seats held by women in national parliaments (%),31.4,31.4,31,31,31,35.7
Italy,Europe,High,female,Proportion of women in managerial positions,27,26.6,26.6,27.7,27.5,NaN
Italy,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,30,43.8,27.8,NaN,NaN
Italy,Europe,High,female,Proportion of women in senior and middle management positions,22,21.9,21.8,22,22.3,NaN
Italy,Europe,High,female,Share of female judges,52,52,52,NaN,NaN,NaN
Italy,Europe,High,female,Share of female police officers,7,NaN,NaN,NaN,NaN,NaN
Jamaica,Americas,Upper-Middle,female,Political Empowerment Score,0.1345,NaN,NaN,NaN,NaN,NaN
Jamaica,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),12.7,12.7,12.7,17.5,17.5,17.5
Jamaica,Americas,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,56.7,NaN
Jamaica,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,20,20,16.7,NaN,NaN
Jamaica,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Jamaica,Americas,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Jamaica,Americas,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Japan,Asia Pacific,High,female,Political Empowerment Score,0.0603,NaN,NaN,NaN,NaN,NaN
Japan,Asia Pacific,High,female,Proportion of seats held by women in national parliaments (%),8.1,8.1,9.5,9.5,9.3,10.1
Japan,Asia Pacific,High,female,Proportion of women in managerial positions,11.2,11.3,12.5,13,13.2,NaN
Japan,Asia Pacific,High,female,Proportion of women in ministerial level positions (%),NaN,11.1,22.2,15.8,NaN,NaN
Japan,Asia Pacific,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Japan,Asia Pacific,High,female,Share of female judges,18,19,NaN,NaN,NaN,NaN
Japan,Asia Pacific,High,female,Share of female police officers,7,8,NaN,NaN,NaN,NaN
Jordan,Middle East and North Africa,Upper-Middle,female,Political Empowerment Score,0.0607,NaN,NaN,NaN,NaN,NaN
Jordan,Middle East and North Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),12.2,12,12,15.4,15.4,15.4
Jordan,Middle East and North Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,11.1,11.1,7.1,NaN,NaN
Jordan,Middle East and North Africa,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Jordan,Middle East and North Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Jordan,Middle East and North Africa,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Jordan,Middle East and North Africa,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Kazakhstan,Post-communist,Upper-Middle,female,Political Empowerment Score,0.1458,NaN,NaN,NaN,NaN,NaN
Kazakhstan,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),24.3,25.2,26.2,27.1,27.1,27.1
Kazakhstan,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,38.3,NaN,37.1,NaN,NaN,NaN
Kazakhstan,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,20,13.3,5.6,NaN,NaN
Kazakhstan,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Kazakhstan,Post-communist,Upper-Middle,female,Share of female judges,43,NaN,NaN,NaN,NaN,NaN
Kazakhstan,Post-communist,Upper-Middle,female,Share of female police officers,9,NaN,NaN,NaN,NaN,NaN
Kenya,Sub Saharan Africa,Lower-Middle,female,Political Empowerment Score,0.1157,NaN,NaN,NaN,NaN,NaN
Kenya,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),18.6,19.1,19.7,19.7,21.8,21.8
Kenya,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Kenya,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,33.3,30,22.7,NaN,NaN
Kenya,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Kenya,Sub Saharan Africa,Lower-Middle,female,Share of female judges,43,43,NaN,NaN,NaN,NaN
Kenya,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,12,13,13,NaN,NaN,NaN
Kuwait,Middle East and North Africa,High,female,Political Empowerment Score,0.037,NaN,NaN,NaN,NaN,NaN
Kuwait,Middle East and North Africa,High,female,Proportion of seats held by women in national parliaments (%),6.2,1.5,1.5,1.5,3.1,3.1
Kuwait,Middle East and North Africa,High,female,Proportion of women in managerial positions,NaN,NaN,14,13.6,NaN,NaN
Kuwait,Middle East and North Africa,High,female,Proportion of women in ministerial level positions (%),NaN,6.7,6.7,6.7,NaN,NaN
Kuwait,Middle East and North Africa,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Kuwait,Middle East and North Africa,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Kuwait,Middle East and North Africa,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Kyrgyzstan,Post-communist,Lower-Middle,female,Political Empowerment Score,0.1383,NaN,NaN,NaN,NaN,NaN
Kyrgyzstan,Post-communist,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),23.3,23.3,19.2,19.2,19.2,19.2
Kyrgyzstan,Post-communist,Lower-Middle,female,Proportion of women in managerial positions,27.5,33.4,35.7,34.9,36.2,NaN
Kyrgyzstan,Post-communist,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,14.3,15,14.3,NaN,NaN
Kyrgyzstan,Post-communist,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Kyrgyzstan,Post-communist,Lower-Middle,female,Share of female judges,32,NaN,35,NaN,NaN,NaN
Kyrgyzstan,Post-communist,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Lao People's Democratic Republic,Asia Pacific,Lower-Middle,female,Political Empowerment Score,0.1355,NaN,NaN,NaN,NaN,NaN
Lao People's Democratic Republic,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),25,25,25,27.5,27.5,27.5
Lao People's Democratic Republic,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,59,NaN
Lao People's Democratic Republic,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,11.5,10.3,7.4,NaN,NaN
Lao People's Democratic Republic,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,23.4,NaN
Lao People's Democratic Republic,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Lao People's Democratic Republic,Asia Pacific,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Latvia,Post-communist,High,female,Political Empowerment Score,0.2875,NaN,NaN,NaN,NaN,NaN
Latvia,Post-communist,High,female,Proportion of seats held by women in national parliaments (%),23,18,18,18,16,16
Latvia,Post-communist,High,female,Proportion of women in managerial positions,43.8,44.1,44.3,47.3,46.3,NaN
Latvia,Post-communist,High,female,Proportion of women in ministerial level positions (%),NaN,30.8,23.1,23.1,NaN,NaN
Latvia,Post-communist,High,female,Proportion of women in senior and middle management positions,42.2,42.1,44.3,46.3,44.1,NaN
Latvia,Post-communist,High,female,Share of female judges,79,79,79,NaN,NaN,NaN
Latvia,Post-communist,High,female,Share of female police officers,34,36,37,NaN,NaN,NaN
Lebanon,Middle East and North Africa,Upper-Middle,female,Political Empowerment Score,0.0099,NaN,NaN,NaN,NaN,NaN
Lebanon,Middle East and North Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),3.1,3.1,3.1,3.1,3.1,4.7
Lebanon,Middle East and North Africa,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Lebanon,Middle East and North Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,0,4.3,3.4,NaN,NaN
Lebanon,Middle East and North Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Lebanon,Middle East and North Africa,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Lebanon,Middle East and North Africa,Upper-Middle,female,Share of female police officers,4,NaN,NaN,NaN,NaN,NaN
Lesotho,Sub Saharan Africa,Lower-Middle,female,Political Empowerment Score,0.257,NaN,NaN,NaN,NaN,NaN
Lesotho,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),26.7,26.7,25,25,22.9,22.1
Lesotho,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Lesotho,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,21.7,21.7,18.2,NaN,NaN
Lesotho,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Lesotho,Sub Saharan Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Lesotho,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Liberia,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),11,11,11,11,12.3,12.3
Liberia,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Liberia,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,21.1,20,15.8,NaN,NaN
Liberia,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Liberia,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Liberia,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Liberia,Sub Saharan Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Lithuania,Post-communist,High,female,Political Empowerment Score,0.1826,NaN,NaN,NaN,NaN,NaN
Lithuania,Post-communist,High,female,Proportion of seats held by women in national parliaments (%),24.1,24.1,23.4,21.3,21.3,21.3
Lithuania,Post-communist,High,female,Proportion of women in managerial positions,39.6,NaN,39.6,39.4,39.3,NaN
Lithuania,Post-communist,High,female,Proportion of women in ministerial level positions (%),NaN,7.1,21.4,21.4,NaN,NaN
Lithuania,Post-communist,High,female,Proportion of women in senior and middle management positions,36.5,35.4,38.1,38.8,37.9,NaN
Lithuania,Post-communist,High,female,Share of female judges,60,60,61,NaN,NaN,NaN
Lithuania,Post-communist,High,female,Share of female police officers,32,35,36,NaN,NaN,NaN
Luxembourg,Europe,High,female,Political Empowerment Score,0.1757,NaN,NaN,NaN,NaN,NaN
Luxembourg,Europe,High,female,Proportion of seats held by women in national parliaments (%),23.3,28.3,28.3,28.3,28.3,28.3
Luxembourg,Europe,High,female,Proportion of women in managerial positions,14.9,22.5,18.2,17.7,18.8,NaN
Luxembourg,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,26.7,26.7,20,NaN,NaN
Luxembourg,Europe,High,female,Proportion of women in senior and middle management positions,14.6,17.9,14,14.9,16.1,NaN
Luxembourg,Europe,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Luxembourg,Europe,High,female,Share of female police officers,11,11,NaN,NaN,NaN,NaN
"Macao SAR, China",Asia Pacific,High,female,Proportion of seats held by women in national parliaments (%),NaN,NaN,NaN,NaN,NaN,NaN
"Macao SAR, China",Asia Pacific,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
"Macao SAR, China",Asia Pacific,High,female,Proportion of women in ministerial level positions (%),NaN,NaN,NaN,NaN,NaN,NaN
"Macao SAR, China",Asia Pacific,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
"Macao SAR, China",Asia Pacific,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
"Macao SAR, China",Asia Pacific,High,female,Share of female police officers,19,19,19,NaN,NaN,NaN
"Macao SAR, China",Asia Pacific,High,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Madagascar,Sub Saharan Africa,Low,female,Political Empowerment Score,0.1547,NaN,NaN,NaN,NaN,NaN
Madagascar,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),17.5,20.5,20.5,20.5,19.2,19.2
Madagascar,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,31.8,NaN,NaN,NaN
Madagascar,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,31.3,20,17.9,NaN,NaN
Madagascar,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Madagascar,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,51,NaN,NaN,NaN
Madagascar,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,4,NaN,NaN,NaN
Malawi,Sub Saharan Africa,Low,female,Political Empowerment Score,0.166,NaN,NaN,NaN,NaN,NaN
Malawi,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),22.3,16.7,16.7,16.7,16.7,16.7
Malawi,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,15.6,NaN,NaN,NaN,NaN,NaN
Malawi,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,32,11.1,22.2,NaN,NaN
Malawi,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Malawi,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Malawi,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Malaysia,Asia Pacific,Upper-Middle,female,Political Empowerment Score,0.053,NaN,NaN,NaN,NaN,NaN
Malaysia,Asia Pacific,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),10.4,10.4,10.4,10.4,10.4,13.9
Malaysia,Asia Pacific,Upper-Middle,female,Proportion of women in managerial positions,22.1,22.3,22.5,20.4,NaN,NaN
Malaysia,Asia Pacific,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,6.3,5.7,8.3,NaN,NaN
Malaysia,Asia Pacific,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Malaysia,Asia Pacific,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Malaysia,Asia Pacific,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Maldives,Asia Pacific,Upper-Middle,female,Political Empowerment Score,0.089,NaN,NaN,NaN,NaN,NaN
Maldives,Asia Pacific,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),6.5,5.9,5.9,5.9,5.9,5.9
Maldives,Asia Pacific,Upper-Middle,female,Proportion of women in managerial positions,NaN,18.5,NaN,19.6,NaN,NaN
Maldives,Asia Pacific,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,17.6,12.5,17.6,NaN,NaN
Maldives,Asia Pacific,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,19.5,NaN,NaN
Maldives,Asia Pacific,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Maldives,Asia Pacific,Upper-Middle,female,Share of female police officers,9,NaN,NaN,NaN,NaN,NaN
Mali,Sub Saharan Africa,Low,female,Political Empowerment Score,0.0769,NaN,NaN,NaN,NaN,NaN
Mali,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),10.2,9.5,8.8,8.8,8.8,8.8
Mali,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,12.1,16.1,24.2,NaN,NaN
Mali,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Mali,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Mali,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Mali,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Malta,Europe,High,female,Political Empowerment Score,0.1716,NaN,NaN,NaN,NaN,NaN
Malta,Europe,High,female,Proportion of seats held by women in national parliaments (%),14.3,14.3,12.9,12.9,11.9,11.9
Malta,Europe,High,female,Proportion of women in managerial positions,28.1,25.7,27.1,28.7,28.5,NaN
Malta,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,14.3,7.1,6.3,NaN,NaN
Malta,Europe,High,female,Proportion of women in senior and middle management positions,28.6,26,26.2,29,27.6,NaN
Malta,Europe,High,female,Share of female judges,36,39,43,NaN,NaN,NaN
Malta,Europe,High,female,Share of female police officers,18,18,19,NaN,NaN,NaN
Marshall Islands,Asia Pacific,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),3,3,9.1,9.1,9.1,9.1
Marshall Islands,Asia Pacific,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,10,10,10,NaN,NaN
Marshall Islands,Asia Pacific,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Marshall Islands,Asia Pacific,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Marshall Islands,Asia Pacific,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Marshall Islands,Asia Pacific,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Marshall Islands,Asia Pacific,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Mauritania,Sub Saharan Africa,Lower-Middle,female,Political Empowerment Score,0.1201,NaN,NaN,NaN,NaN,NaN
Mauritania,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),22.1,25.2,25.2,25.2,25.2,20.3
Mauritania,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,13,26.9,30.8,NaN,NaN
Mauritania,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Mauritania,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Mauritania,Sub Saharan Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Mauritania,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Mauritius,Sub Saharan Africa,Upper-Middle,female,Political Empowerment Score,0.0959,NaN,NaN,NaN,NaN,NaN
Mauritius,Sub Saharan Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),18.8,18.8,11.6,11.6,11.6,11.6
